%Molecule Name    : M-Xylene
%Description      :  p-silicalite gcmc final run
%Temperature      :     300.00
%Max Loading/uc   :       6.00
%Number of Points : 4001
%Type of file     :    2
%  Pressure     N         sigma      
%  kpa          mol/uc    ,ol/uc     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000000E-006  2.539986813774864E-003  2.557239011479053E-003
  1.000000000000000E-005  5.287000000000000E-003  5.114478022958105E-003
  1.500000000000000E-005  7.990660064598028E-003  7.777075863748189E-003
  2.000000000000000E-005  1.071149450110584E-002  1.043967370453827E-002
  2.500000000000000E-005  1.344517144504268E-002  1.312837345732226E-002
  3.000000000000000E-005  1.618912641236010E-002  1.581707321010626E-002
  3.500000000000000E-005  1.894165817931512E-002  1.852285431387672E-002
  4.000000000000000E-005  2.170155370668068E-002  2.122863541764718E-002
  4.500000000000000E-005  2.446790351881502E-002  2.394718841755970E-002
  5.000000000000000E-005  2.724000000000000E-002  2.666574141747221E-002
  5.500000000000000E-005  3.014993831444554E-002  2.940641486094280E-002
  6.000000000000001E-005  3.307712073957440E-002  3.214708830441339E-002
  6.500000000000001E-005  3.602019661163678E-002  3.491770634659748E-002
  7.000000000000001E-005  3.897801748178167E-002  3.768832438878158E-002
  7.500000000000001E-005  4.194959445614693E-002  4.048483802254344E-002
  8.000000000000001E-005  4.493406680144724E-002  4.328135165630530E-002
  8.500000000000001E-005  4.793067831735862E-002  4.610070447381547E-002
  9.000000000000001E-005  5.093875920712748E-002  4.892005729132564E-002
  9.500000000000001E-005  5.395771193058978E-002  5.175985718603221E-002
  1.000000000000000E-004  5.698700000000000E-002  5.459965708073879E-002
  1.050000000000000E-004  5.992776766004092E-002  5.745332757655240E-002
  1.100000000000000E-004  6.287292191960625E-002  6.030699807236601E-002
  1.150000000000000E-004  6.582226935269614E-002  6.316880851552074E-002
  1.200000000000000E-004  6.877563311760734E-002  6.603061895867547E-002
  1.250000000000000E-004  7.173285090161287E-002  6.889990978444933E-002
  1.300000000000000E-004  7.469377319260555E-002  7.176920061022320E-002
  1.350000000000000E-004  7.765826181507925E-002  7.464541258446070E-002
  1.400000000000000E-004  8.062618868169988E-002  7.752162455869820E-002
  1.450000000000000E-004  8.359743472213249E-002  8.040427739568443E-002
  1.500000000000000E-004  8.657188895869858E-002  8.328693023267066E-002
  1.550000000000000E-004  8.954944770450120E-002  8.617560690116396E-002
  1.600000000000000E-004  9.253001386435740E-002  8.906428356965729E-002
  1.650000000000000E-004  9.551349632254864E-002  9.195861851043677E-002
  1.700000000000000E-004  9.849980940429903E-002  9.485295345121626E-002
  1.750000000000000E-004  0.101488872400191       9.775262355704722E-002
  1.800000000000000E-004  0.104480609144571       0.100652293662878     
  1.850000000000000E-004  0.107474947640488       0.103557011254877     
  1.900000000000000E-004  0.110471819724900       0.106461728846875     
  1.950000000000000E-004  0.113471160768885       0.109371236123047     
  2.000000000000000E-004  0.116472909408393       0.112280743399220     
  2.050000000000000E-004  0.119477007301731       0.115194807988075     
  2.100000000000000E-004  0.122483398910544       0.118108872576930     
  2.150000000000000E-004  0.125492031301521       0.121027283933819     
  2.200000000000000E-004  0.128502853966401       0.123945695290708     
  2.250000000000000E-004  0.131515818658242       0.126868261745962     
  2.300000000000000E-004  0.134530879242133       0.129790828201215     
  2.350000000000000E-004  0.137547991558800       0.132717374518880     
  2.400000000000000E-004  0.140567113299735       0.135643920836544     
  2.450000000000000E-004  0.143588203892656       0.138574286177720     
  2.500000000000000E-004  0.146611224396254       0.141504651518896     
  2.550000000000000E-004  0.149636137403302       0.144438687729076     
  2.600000000000000E-004  0.152662906951295       0.147372723939256     
  2.650000000000000E-004  0.155691498439934       0.150310294097596     
  2.700000000000000E-004  0.158721878554776       0.153247864255936     
  2.750000000000000E-004  0.161754015196511       0.156188841438164     
  2.800000000000000E-004  0.164787877415335       0.159129818620393     
  2.850000000000000E-004  0.167823435349981       0.162074084837361     
  2.900000000000000E-004  0.170860660171004       0.165018351054329     
  2.950000000000000E-004  0.173899524027935       0.167965796336064     
  3.000000000000000E-004  0.176940000000000       0.170913241617798     
  3.050000000000000E-004  0.180321171700862       0.173869309966910     
  3.100000000000000E-004  0.183710399938128       0.176825378316021     
  3.150000000000000E-004  0.187107573491738       0.179795324321737     
  3.200000000000000E-004  0.190512584420346       0.182765270327453     
  3.250000000000000E-004  0.193925327914886       0.185748722304314     
  3.300000000000001E-004  0.197345702160816       0.188732174281175     
  3.350000000000000E-004  0.200773608208431       0.191728781491249     
  3.400000000000000E-004  0.204208949850640       0.194725388701323     
  3.450000000000000E-004  0.207651633507685       0.197734819590464     
  3.500000000000001E-004  0.211101568118304       0.200744250479604     
  3.550000000000000E-004  0.214558665036896       0.203766191108520     
  3.600000000000000E-004  0.218022837936281       0.206788131737436     
  3.650000000000000E-004  0.221494002715666       0.209822284381216     
  3.700000000000000E-004  0.224972077413479       0.212856437024995     
  3.750000000000000E-004  0.228456982124748       0.215902518918925     
  3.800000000000000E-004  0.231948638922732       0.218948600812854     
  3.850000000000000E-004  0.235446971784536       0.222006343025788     
  3.900000000000000E-004  0.238951906520444       0.225064085238722     
  3.950000000000000E-004  0.242463370706754       0.228133231658090     
  4.000000000000000E-004  0.245981293621897       0.231202378077457     
  4.050000000000000E-004  0.249505606185633       0.234282684492313     
  4.100000000000000E-004  0.253036240901142       0.237362990907169     
  4.150000000000001E-004  0.256573131799844       0.240454224177661     
  4.200000000000000E-004  0.260116214388786       0.243545457448154     
  4.250000000000000E-004  0.263665425600436       0.246647394751389     
  4.300000000000000E-004  0.267220703744771       0.249749332054624     
  4.350000000000001E-004  0.270781988463501       0.252861760198283     
  4.400000000000000E-004  0.274349220686329       0.255974188341942     
  4.450000000000000E-004  0.277922342589132       0.259096903138163     
  4.500000000000000E-004  0.281501297553949       0.262219617934385     
  4.550000000000001E-004  0.285086030130688       0.265352423627390     
  4.600000000000000E-004  0.288676486000455       0.268485229320395     
  4.650000000000000E-004  0.292272611940421       0.271627938062177     
  4.700000000000000E-004  0.295874355790148       0.274770646803958     
  4.750000000000001E-004  0.299481666419296       0.277923078173053     
  4.800000000000001E-004  0.303094493696641       0.281075509542148     
  4.850000000000000E-004  0.306712788460339       0.284237490101138     
  4.900000000000001E-004  0.310336502489372       0.287399470660127     
  4.950000000000000E-004  0.313965588476121       0.290570833548004     
  5.000000000000000E-004  0.317600000000000       0.293742196435880     
  5.050000000000000E-004  0.321575728568715       0.296926104780118     
  5.100000000000000E-004  0.325561319980154       0.300110013124356     
  5.150000000000000E-004  0.329556701645593       0.303309583320795     
  5.200000000000001E-004  0.333561802211001       0.306509153517234     
  5.250000000000001E-004  0.337576551524354       0.309724159174562     
  5.300000000000001E-004  0.341600880604115       0.312939164831890     
  5.350000000000000E-004  0.345634721608833       0.316169387052034     
  5.400000000000000E-004  0.349678007807810       0.319399609272179     
  5.450000000000000E-004  0.353730673552784       0.322644836267757     
  5.500000000000000E-004  0.357792654250588       0.325890063263335     
